,ORI_DEX,DEX,URL,CNT_NAME
0,001,906,/wiki/%E6%96%B0%E5%8F%B6%E5%96%B5,新葉喵
1,002,907,/wiki/%E8%92%82%E8%95%BE%E5%96%B5,蒂蕾喵
2,003,908,/wiki/%E9%AD%94%E5%B9%BB%E5%81%87%E9%9D%A2%E5%96%B5,魔幻假面喵
3,004,909,/wiki/%E5%91%86%E7%81%AB%E9%B3%84,呆火鱷
4,005,910,/wiki/%E7%82%99%E7%83%AB%E9%B3%84,炙燙鱷
5,006,911,/wiki/%E9%AA%A8%E7%BA%B9%E5%B7%A8%E5%A3%B0%E9%B3%84,骨紋巨聲鱷
6,007,912,/wiki/%E6%B6%A6%E6%B0%B4%E9%B8%AD,潤水鴨
7,008,913,/wiki/%E6%B6%8C%E8%B7%83%E9%B8%AD,涌躍鴨
8,009,914,/wiki/%E7%8B%82%E6%AC%A2%E6%B5%AA%E8%88%9E%E9%B8%AD,狂歡浪舞鴨
9,010,915,/wiki/%E7%88%B1%E5%90%83%E8%B1%9A,愛吃豚
10,011,916,/wiki/%E9%A3%98%E9%A6%99%E8%B1%9A,飄香豚
11,012,917,/wiki/%E5%9B%A2%E7%8F%A0%E8%9B%9B,團珠蛛
12,013,918,/wiki/%E6%93%8D%E9%99%B7%E8%9B%9B,操陷蛛
13,014,919,/wiki/%E8%B1%86%E8%9F%8B%E8%9F%80,豆蟋蟀
14,015,920,/wiki/%E7%83%88%E8%85%BF%E8%9D%97,烈腿蝗
15,016,187,/wiki/%E6%AF%BD%E5%AD%90%E8%8D%89,毽子草
16,017,188,/wiki/%E6%AF%BD%E5%AD%90%E8%8A%B1,毽子花
17,018,189,/wiki/%E6%AF%BD%E5%AD%90%E7%BB%B5,毽子綿
18,019,661,/wiki/%E5%B0%8F%E7%AE%AD%E9%9B%80,小箭雀
19,020,662,/wiki/%E7%81%AB%E7%AE%AD%E9%9B%80,火箭雀
20,021,663,/wiki/%E7%83%88%E7%AE%AD%E9%B9%B0,烈箭鷹
21,022,921,/wiki/%E5%B8%83%E6%8B%A8,布撥
22,023,922,/wiki/%E5%B8%83%E5%9C%9F%E6%8B%A8,布土撥
23,024,923,/wiki/%E5%B7%B4%E5%B8%83%E5%9C%9F%E6%8B%A8,巴布土撥
24,025,228,/wiki/%E6%88%B4%E9%B2%81%E6%AF%94,戴魯比
25,026,229,/wiki/%E9%BB%91%E9%B2%81%E5%8A%A0,黑魯加
26,027,734,/wiki/%E7%8C%AB%E9%BC%AC%E5%B0%91,貓鼬少
27,028,735,/wiki/%E7%8C%AB%E9%BC%AC%E6%8E%A2%E9%95%BF,貓鼬探長
28,029,819,/wiki/%E8%B4%AA%E5%BF%83%E6%A0%97%E9%BC%A0,貪心栗鼠
29,030,820,/wiki/%E8%97%8F%E9%A5%B1%E6%A0%97%E9%BC%A0,藏飽栗鼠
30,031,191,/wiki/%E5%90%91%E6%97%A5%E7%A7%8D%E5%AD%90,向日種子
